================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   m   m   m   m   m   m   m   m   d   h   v   r   g   b 
 in 1e-09 sec | l   s   e   e   e   e   e   e   e   e   a   _   _   e   r   l 
              | k   t   m   m   m   m   m   m   m   m   t   s   s   d   e   u 
              |         _   _   _   _   _   _   _   _   a   y   y       e   e 
              |         a   a   a   a   a   a   a   a       n   n       n     
              |         d   d   d   d   d   d   d   d       c   c             
              |         d   d   d   d   d   d   d   d                         
              |         r   r   r   r   r   r   r   r                         
              |         _   _   _   _   _   _   _   _                         
      26700.0 | 0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      26800.0 | 1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      26900.0 | 0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      27000.0 | 1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      27100.0 | 0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      27200.0 | 1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      27300.0 | 0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      27400.0 | 1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      27500.0 | 0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      27600.0 | 1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      27700.0 | 0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      27800.0 | 1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      27900.0 | 0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      28000.0 | 1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      28100.0 | 0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      28200.0 | 1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      28300.0 | 0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      28400.0 | 1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      28500.0 | 0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      28600.0 | 1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      28700.0 | 0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      28800.0 | 1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
      28900.0 | 0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0
