================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | r   c   d   d   d   d   d   d   v   v   v   v   v   v 
 in 1e-09 sec | s   l   b   b   b   b   b   b   g   g   g   g   g   g 
              | t   k   g   g   g   g   g   g   a   a   a   a   a   a 
              |         _   _   _   _   _   _   _   _   _   _   _   _ 
              |         i   i   i   i   i   i   h   v   c   r   g   b 
              |         n   n   n   n   n   n   s   s   l             
              |         p   p   p   p   p   p   y   y   k             
              |         u   u   u   u   u   u   n   n                 
              |         t   t   t   t   t   t   c   c                 
              |         s   s   s   s   s   s                         
              |         _   _   _   _   _   _                         
              |         5   5   5   5   5   5                         
              |         _   _   _   _   _   _                         
              |         0   0   0   0   0   0                         
              |         _   _   _   _   _   _                         
              |         5   4   3   2   1   0                         
================================================================================
      22960.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      23040.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      23120.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      23200.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      23280.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      23360.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      23440.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      23520.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      23600.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      23680.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      23760.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      23840.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      23920.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      24000.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      24080.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      24160.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      24240.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      24320.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      24400.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      24480.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      24560.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      24640.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      24720.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      24800.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
      24880.0 | 0   0   1   0   1   1   1   1   1   1   0   0   0   0
      24960.0 | 0   1   1   0   1   1   1   1   1   1   1   0   0   0
