================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   s   r   r   r   r   r   r   r   r   r   r   r   s   r 
 in 1e-09 sec | l   e   t   a   a   a   a   a   a   a   a   a   a   a   c   e 
              | k   s   a   m   m   m   m   m   m   m   m   m   m   m   o   a 
              |     e   r   _   _   _   _   _   _   _   _   _   _   _   r   d 
              |     t   t   i   o   a   a   a   a   a   a   a   a   w   e   y 
              |             n   u   d   d   d   d   d   d   d   d   r         
              |                 t   d   d   d   d   d   d   d   d   i         
              |                     r   r   r   r   r   r   r   r   t         
              |                     _   _   _   _   _   _   _   _   e         
      30725.7 | 1   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      30880.0 | 0   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      31040.0 | 1   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      31043.1 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      31046.1 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      31200.0 | 0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      31360.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      31362.2 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      31520.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      31680.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      31840.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      32000.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      32005.2 | 1   0   1   1   1   0   0   0   0   0   0   0   0   0   0   0
      32005.7 | 1   0   1   1   1   0   0   0   0   1   0   0   0   0   0   0
      32005.8 | 1   0   1   1   1   0   0   0   0   1   0   0   1   0   0   0
      32160.0 | 0   0   1   1   1   0   0   0   0   1   0   0   1   0   0   0
      32320.0 | 1   0   1   1   1   0   0   0   0   1   0   0   1   0   0   0
      32323.2 | 1   0   1   1   0   0   0   0   0   1   0   0   1   0   0   0
      32326.2 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      32480.0 | 0   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      32640.0 | 1   0   1   1   0   0   0   0   0   0   0   0   1   0   0   0
      32642.0 | 1   0   1   1   0   0   0   0   0   0   0   0   0   0   0   0
      32642.4 | 1   0   1   1   0   0   0   0   0   1   0   0   0   0   0   0
      32643.4 | 1   0   1   1   0   0   0   0   1   1   0   0   0   0   0   0
      32643.7 | 1   0   1   1   0   0   0   1   1   1   0   0   0   0   0   0
      32800.0 | 0   0   1   1   0   0   0   1   1   1   0   0   0   0   0   0
